scene_id,scenario_type,method,message,target_id,choice_id,listener,confidence,reason_code,auto_error_category,notes
po_000025,partial_observability,hybrid_local_mirror_api_eval,It’s the large red cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000025,partial_observability,hybrid_local_mirror_api_eval,It’s the large red cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000015,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_direct_last_api,0.4,ambiguous,underspecified,
po_000015,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,
po_000039,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000039,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000032,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000032,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000044,partial_observability,hybrid_local_mirror_api_eval,Pick the large yellow cylinder.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,
po_000044,partial_observability,hybrid_local_mirror_api_eval,Pick the large yellow cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,
po_000006,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,
po_000006,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,
po_000045,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.4,ambiguous,underspecified,
po_000045,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.4,ambiguous,underspecified,
po_000004,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000004,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000000,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,attribute,listener_misparse_or_other,
po_000000,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000014,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000014,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000019,partial_observability,hybrid_local_mirror_api_eval,It’s a large green sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,
po_000019,partial_observability,hybrid_local_mirror_api_eval,It’s a large green sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,
po_000040,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000040,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000030,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000030,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue sphere.,obj_1,obj_2,L_test_strict_last_api,0.4,ambiguous,underspecified,
po_000021,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000021,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000035,partial_observability,hybrid_local_mirror_api_eval,Small red cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000035,partial_observability,hybrid_local_mirror_api_eval,Small red cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
